name,current_xindanliang,current_xindanliang_1,current_xindanliang_2,current_xindanlv,current_xindanlv_1,current_xindanlv_2,xindanlv3,xindanlv3_1,xindanlv3_2,id
博弈圣手-小铃铛,238,148,217,4.07%,3.39%,5.33%,1.81%,2.2%,1.43%,339
A股学霸-短视频,0,0,0,0%,0%,0%,0%,0%,0%,340
龙头抓手分部-小铃铛（新）,0,0,0,0%,0%,0%,0%,0%,0%,341
龙头抓手-小铃铛（新）,0,0,0,0%,0%,0%,0%,0%,0%,342
JQ10-陆家嘴旭哥,8,19,58,3.88%,2.57%,5.41%,1.46%,1.76%,0.93%,343
天创-炜哥撩股票,0,0,0,0%,0%,0%,0%,0%,0%,344
老王实盘-小铃铛（改名）,0,0,0,0%,0%,0%,0%,0%,0%,345
1995-股海神牛-注销,0,0,0,0%,0%,0%,0%,0%,0%,346
财经老董-小铃铛,11,3,9,3.87%,3.8%,4.55%,2.46%,2.53%,0.51%,347
游资先锋-小铃铛,3,0,11,4.11%,0%,3.41%,6.85%,0%,0.62%,348
百度选股器24,130,130,28,8.63%,7.25%,6.64%,3.25%,3.07%,3.32%,349
1995-股道真经弃,0,0,0,0%,0%,0%,0%,0%,0%,350
兰君子-股市侃道,0,0,0,0%,0%,0%,0%,0%,0%,351
今天超有财-小铃铛（改名）,5,0,0,5.05%,0%,0%,0%,0%,0%,352
申抖12股票,0,0,0,0%,0%,0%,0%,0%,0%,353
财富密码-小铃铛,0,0,0,0%,0%,0%,0%,0%,0%,354
申抖6免费票,1,54,70,4.76%,6.89%,4.12%,4.76%,2.81%,1.88%,355
兰君子-聊股吧,0,0,0,0%,0%,0%,0%,0%,0%,356
百度指标25,0,0,0,0%,0%,0%,0%,0%,0%,357
360-弹窗-免费票,52,41,63,6.57%,7.52%,6.4%,3.03%,2.39%,3.05%,358
360-屏保-免费票,0,0,0,0%,0%,0%,0%,0%,0%,359
百度课程26,0,0,0,0%,0%,0%,0%,0%,0%,360
优量汇-30768175-趋势王0.1元,0,0,0,0%,0%,0%,0%,0%,0%,361
PCAD-30768196-四合一,0,0,0,0%,0%,0%,0%,0%,0%,362
PCAD-30768196-短线王,0,0,0,0%,0%,0%,0%,0%,0%,363
1995-A股首板王,0,0,0,0%,0%,0%,0%,0%,0%,364
优量汇-SK-31863070-趋势王0.1元,0,0,0,0%,0%,0%,0%,0%,0%,365
PCAD-SK-31863076-四合一,0,0,0,0%,0%,0%,0%,0%,0%,366
PCAD-SK-31863076-短线王,0,0,0,0%,0%,0%,0%,0%,0%,367
申抖13免费票加v,0,0,0,0%,0%,0%,0%,0%,0%,368
申抖14付费指标加v,143,133,223,5.67%,4.54%,5.48%,3.05%,2.87%,2.39%,369
申抖15付费指标加v,0,1,0,0%,50%,0%,0%,50%,0%,370
视频号-30768164-四合一0.1元,0,0,0,0%,0%,0%,0%,0%,0%,371
1995-股市大队长,0,0,0,0%,0%,0%,0%,0%,0%,373
ZSL-股道圣手,0,0,0,0%,0%,0%,0%,0%,0%,374
JQ11-波段老程,0,0,0,0%,0%,0%,0%,0%,0%,375
JQ107-免费票,122,165,158,5.32%,5.33%,5.88%,2.83%,2.91%,2.64%,376
