name,current_xindanliang,current_xindanliang_1,current_xindanliang_2,current_xindanlv,current_xindanlv_1,current_xindanlv_2,xindanlv3,xindanlv3_1,xindanlv3_2,id
申抖音2,0,,,0%,,,0%,,,3
申抖音2老师,0,,,0%,,,0%,,,73
申抖音5,0,,,0%,,,0%,,,100
申抖音2开口,27,,,5.38%,,,1.99%,,,175
申抖12股票,0,,,0%,,,0%,,,353
申抖6免费票,1,,,4.76%,,,4.76%,,,355
申抖13免费票加v,0,,,0%,,,0%,,,368
JQ107-免费票,122,,,5.32%,,,2.83%,,,376
JQ108-免费票,0,,,0%,,,0%,,,377
JQ109-免费票,204,,,6.18%,,,2.48%,,,389
JQ1010-免费票,98,,,5.65%,,,2.13%,,,398
JQ1011-免费票-开口,2,,,14.29%,,,7.14%,,,437
JQ1012-免费票,1,,,50%,,,50%,,,466
JQ1013-免费票-开口,68,,,6.43%,,,2.65%,,,467
JQ31-免费票,0,,,0%,,,0%,,,543
JQ32-免费票,0,,,0%,,,0%,,,544
JQ33-免费票,0,,,0%,,,0%,,,545
SK26-免费票,0,,,0%,,,0%,,,546
SK27-免费票,51,,,4.78%,,,3.1%,,,547
SK28-免费票,272,,,8.25%,,,3.34%,,,559
申抖29免费票-小程序,596,,,5.73%,,,2.84%,,,583
申抖30免费票开口,57,,,6.96%,,,2.2%,,,595
申抖31免费票开口,43,,,5.26%,,,3.43%,,,596
